Hour,Normal_W,Shading_W,Inverter_Fault_W,Degradation_W
0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
6.5,5.213348577772551,5.213348577772551,5.213348577772551,4.170678862218041
7.0,20.498113220980883,20.498113220980883,20.498113220980883,16.398490576784706
7.5,44.81266247845823,44.81266247845823,44.81266247845823,35.85012998276659
8.0,76.49999999999997,76.49999999999997,76.49999999999997,61.19999999999998
8.5,113.40068609931433,113.40068609931433,113.40068609931433,90.72054887945147
9.0,153.00000000000003,153.00000000000003,153.00000000000003,122.40000000000002
9.5,192.59931390068567,192.59931390068567,192.59931390068567,154.07945112054853
10.0,229.49999999999997,137.7,229.49999999999997,183.6
10.5,261.18733752154174,156.71240251292502,0.0,208.9498700172334
11.0,285.5018867790191,171.30113206741146,0.0,228.40150942321532
11.5,300.7866514222274,180.47199085333642,0.0,240.62932113778194
12.0,306.0,183.6,0.0,244.8
12.5,300.7866514222274,180.47199085333642,0.0,240.62932113778194
13.0,285.5018867790191,171.30113206741146,0.0,228.40150942321532
13.5,261.1873375215418,156.71240251292508,0.0,208.94987001723348
14.0,229.50000000000003,137.7,229.50000000000003,183.60000000000005
14.5,192.59931390068567,115.55958834041141,192.59931390068567,154.07945112054853
15.0,153.00000000000003,91.80000000000001,153.00000000000003,122.40000000000002
15.5,113.40068609931443,68.04041165958866,113.40068609931443,90.72054887945154
16.0,76.49999999999997,45.89999999999998,76.49999999999997,61.19999999999998
16.5,44.81266247845826,26.887597487074956,44.81266247845826,35.85012998276661
17.0,20.498113220980926,12.298867932588557,20.498113220980926,16.39849057678474
17.5,5.213348577772584,3.1280091466635507,5.213348577772584,4.170678862218067
18.0,4.589264934945284e-30,2.7535589609671706e-30,4.589264934945284e-30,3.671411947956227e-30
18.5,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0
19.5,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0
20.5,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0
21.5,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0
22.5,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0
23.5,0.0,0.0,0.0,0.0
